EURUSD,2019,7,3,50,1.12772,1.12885,1.12766,1.12883,15859.3799,TRADESIM,H1,
EURUSD,2019,7,3,60,1.12881,1.12924,1.12831,1.12887,16537.8594,TRADESIM,H1,
EURUSD,2019,7,3,70,1.12886,1.12997,1.12844,1.12974,12702.25,TRADESIM,H1,
EURUSD,2019,7,3,80,1.12974,1.12997,1.12886,1.12910,14463.2803,TRADESIM,H1,
EURUSD,2019,7,3,90,1.12911,1.13000,1.12767,1.12825,21541.7793,TRADESIM,H1,
EURUSD,2019,7,3,100,1.12824,1.12996,1.12797,1.12908,22420.9395,TRADESIM,H1,
EURUSD,2019,7,3,110,1.12908,1.13123,1.12800,1.12809,27903.5801,TRADESIM,H1,
EURUSD,2019,7,3,120,1.12808,1.12846,1.12733,1.12747,19422.2305,TRADESIM,H1,
EURUSD,2019,7,3,130,1.12746,1.12843,1.12718,1.12813,10986.3896,TRADESIM,H1,
EURUSD,2019,7,3,140,1.12814,1.12846,1.12770,1.12787,4754.1001,TRADESIM,H1,
EURUSD,2019,7,3,150,1.12788,1.12809,1.12770,1.12781,3663.0801,TRADESIM,H1,
EURUSD,2019,7,3,160,1.12780,1.12808,1.12776,1.12778,2448.79,TRADESIM,H1,
EURUSD,2019,7,3,170,1.12777,1.12789,1.12755,1.12774,2177.21,TRADESIM,H1,
EURUSD,2019,7,3,180,1.12777,1.12799,1.12772,1.12797,612.3,TRADESIM,H1,
EURUSD,2019,7,3,190,1.12799,1.12878,1.12799,1.12872,2098.48,TRADESIM,H1,
EURUSD,2019,7,3,200,1.12872,1.12883,1.12860,1.12873,3465.25,TRADESIM,H1,
EURUSD,2019,7,3,210,1.12873,1.12890,1.12847,1.12867,3907.3,TRADESIM,H1,
EURUSD,2019,7,3,220,1.12867,1.12945,1.12862,1.12943,4642,TRADESIM,H1,
EURUSD,2019,7,3,230,1.12942,1.12951,1.12822,1.12835,5668.4199,TRADESIM,H1,
EURUSD,2019,7,4,0,1.12836,1.12871,1.12818,1.12822,4273.1602,TRADESIM,H1,
EURUSD,2019,7,4,10,1.12822,1.12864,1.12818,1.12857,3366.79,TRADESIM,H1,
EURUSD,2019,7,4,20,1.12857,1.12862,1.12822,1.12837,4236.8301,TRADESIM,H1,
EURUSD,2019,7,4,30,1.12837,1.12854,1.12810,1.12836,6692.9199,TRADESIM,H1,
EURUSD,2019,7,4,40,1.12835,1.12850,1.12795,1.12834,12022.2998,TRADESIM,H1,
EURUSD,2019,7,4,50,1.12836,1.12898,1.12789,1.12798,11345,TRADESIM,H1,
EURUSD,2019,7,4,60,1.12797,1.12858,1.12773,1.12851,10795.9502,TRADESIM,H1,
EURUSD,2019,7,4,70,1.12851,1.12899,1.12815,1.12858,10717.8398,TRADESIM,H1,
EURUSD,2019,7,4,80,1.12857,1.12897,1.12840,1.12865,7704.8501,TRADESIM,H1,
EURUSD,2019,7,4,90,1.12865,1.12888,1.12825,1.12831,8561.29,TRADESIM,H1,
EURUSD,2019,7,4,100,1.12830,1.12831,1.12731,1.12784,12592.3203,TRADESIM,H1,
EURUSD,2019,7,4,110,1.12784,1.12822,1.12774,1.12816,10078.7695,TRADESIM,H1,
EURUSD,2019,7,4,120,1.12816,1.12841,1.12792,1.12821,8464.5498,TRADESIM,H1,
EURUSD,2019,7,4,130,1.12822,1.12845,1.12807,1.12811,3675.4199,TRADESIM,H1,
EURUSD,2019,7,4,140,1.12812,1.12838,1.12812,1.12824,1324.22,TRADESIM,H1,
EURUSD,2019,7,4,150,1.12825,1.12852,1.12824,1.12851,899.58,TRADESIM,H1,
EURUSD,2019,7,4,160,1.12850,1.12856,1.12841,1.12842,758.73,TRADESIM,H1,
EURUSD,2019,7,4,170,1.12841,1.12854,1.12831,1.12847,1846.54,TRADESIM,H1,
EURUSD,2019,7,4,180,1.12837,1.12856,1.12823,1.12854,915.38,TRADESIM,H1,
EURUSD,2019,7,4,190,1.12853,1.12877,1.12841,1.12863,2218.5701,TRADESIM,H1,
EURUSD,2019,7,4,200,1.12863,1.12867,1.12847,1.12853,2995.98,TRADESIM,H1,
EURUSD,2019,7,4,210,1.12853,1.12860,1.12795,1.12799,5049.46,TRADESIM,H1,
EURUSD,2019,7,4,220,1.12798,1.12822,1.12778,1.12792,4596.3501,TRADESIM,H1,
EURUSD,2019,7,4,230,1.12792,1.12819,1.12787,1.12817,4755.04,TRADESIM,H1,
EURUSD,2019,7,5,0,1.12817,1.12844,1.12815,1.12823,3641.9299,TRADESIM,H1,
EURUSD,2019,7,5,10,1.12823,1.12826,1.12802,1.12809,3310.5,TRADESIM,H1,
EURUSD,2019,7,5,20,1.12809,1.12812,1.12778,1.12790,4829.8799,TRADESIM,H1,
EURUSD,2019,7,5,30,1.12790,1.12816,1.12719,1.12732,12502.6699,TRADESIM,H1,
EURUSD,2019,7,5,40,1.12733,1.12750,1.12656,1.12673,13535.4004,TRADESIM,H1,
EURUSD,2019,7,5,50,1.12675,1.12681,1.12612,1.12621,16034.8096,TRADESIM,H1,
EURUSD,2019,7,5,60,1.12622,1.12644,1.12557,1.12637,13119.1504,TRADESIM,H1,
EURUSD,2019,7,5,70,1.12635,1.12682,1.12591,1.12618,14704.1797,TRADESIM,H1,
EURUSD,2019,7,5,80,1.12618,1.12649,1.12571,1.12587,14088.3398,TRADESIM,H1,
EURUSD,2019,7,5,90,1.12588,1.12703,1.12324,1.12441,31938.5996,TRADESIM,H1,
EURUSD,2019,7,5,100,1.12441,1.12441,1.12153,1.12191,30209.4805,TRADESIM,H1,
EURUSD,2019,7,5,110,1.12193,1.12255,1.12073,1.12221,26051.7793,TRADESIM,H1,
EURUSD,2019,7,5,120,1.12222,1.12229,1.12080,1.12156,18806.3691,TRADESIM,H1,
EURUSD,2019,7,5,130,1.12156,1.12235,1.12150,1.12186,11318.8398,TRADESIM,H1,
EURUSD,2019,7,5,140,1.12185,1.12211,1.12158,1.12185,8868.8896,TRADESIM,H1,
EURUSD,2019,7,5,150,1.12184,1.12218,1.12175,1.12218,7686.48,TRADESIM,H1,
