Symbol,Date,Open,High,Low,Close,Volume
EURUSD,01-Jun-2020,1.1116,1.1153,1.1101,1.1124,0
EURUSD,02-Jun-2020,1.1134,1.1196,1.1115,1.1185,0
EURUSD,03-Jun-2020,1.1235,1.1238,1.123,1.1234,0
EURUSD,04-Jun-2020,1.1229,1.1344,1.1195,1.1337,0
EURUSD,05-Jun-2020,1.1342,1.1384,1.1278,1.129,0
EURUSD,06-Jun-2020,1.129,1.129,1.129,1.129,0
EURUSD,07-Jun-2020,1.1296,1.1319,1.1293,1.1319,0
EURUSD,08-Jun-2020,1.1312,1.1312,1.1268,1.1305,0
EURUSD,09-Jun-2020,1.1305,1.1363,1.1241,1.1332,0
EURUSD,10-Jun-2020,1.1335,1.1421,1.1323,1.1364,0
EURUSD,11-Jun-2020,1.1374,1.1403,1.1287,1.1294,0
EURUSD,12-Jun-2020,1.1287,1.134,1.1213,1.1254,0
EURUSD,13-Jun-2020,1.1254,1.1254,1.1254,1.1254,0
EURUSD,14-Jun-2020,1.1239,1.1257,1.1226,1.1253,0
EURUSD,15-Jun-2020,1.1253,1.1338,1.1232,1.1338,0
EURUSD,16-Jun-2020,1.1338,1.1353,1.1228,1.1266,0
EURUSD,17-Jun-2020,1.1266,1.1294,1.1208,1.1243,0
EURUSD,18-Jun-2020,1.1245,1.1261,1.1186,1.1211,0
EURUSD,19-Jun-2020,1.1205,1.1254,1.1169,1.1177,0
EURUSD,20-Jun-2020,1.1177,1.1177,1.1177,1.1177,0
EURUSD,21-Jun-2020,1.1186,1.1186,1.1168,1.1174,0
EURUSD,22-Jun-2020,1.1178,1.1281,1.1178,1.1279,0
EURUSD,23-Jun-2020,1.1272,1.1348,1.1233,1.1314,0
EURUSD,24-Jun-2020,1.1314,1.1326,1.1248,1.125,0
EURUSD,25-Jun-2020,1.1248,1.1259,1.119,1.1219,0
EURUSD,26-Jun-2020,1.1214,1.1239,1.1195,1.1218,0
EURUSD,27-Jun-2020,1.1218,1.1218,1.1218,1.1218,0
EURUSD,28-Jun-2020,1.1222,1.1226,1.1213,1.1226,0
EURUSD,29-Jun-2020,1.122,1.1288,1.122,1.1249,0
EURUSD,30-Jun-2020,1.1244,1.1262,1.1191,1.1234,0
