Symbol,Date,Open,High,Low,Close,Volume
EURUSD,01-Apr-2020,1.1029,1.1038,1.0903,1.0951,0
EURUSD,02-Apr-2020,1.0949,1.0957,1.0821,1.0844,0
EURUSD,03-Apr-2020,1.0842,1.0853,1.0773,1.0797,0
EURUSD,04-Apr-2020,1.0797,1.0797,1.0797,1.0797,0
EURUSD,05-Apr-2020,1.0819,1.082,1.0799,1.0806,0
EURUSD,06-Apr-2020,1.0802,1.0835,1.0768,1.0802,0
EURUSD,07-Apr-2020,1.08,1.0924,1.0793,1.0899,0
EURUSD,08-Apr-2020,1.0896,1.0896,1.083,1.0862,0
EURUSD,09-Apr-2020,1.0862,1.0951,1.0841,1.0921,0
EURUSD,10-Apr-2020,1.0921,1.0951,1.0919,1.0935,0
EURUSD,11-Apr-2020,1.0935,1.0935,1.0935,1.0935,0
EURUSD,12-Apr-2020,1.0942,1.0949,1.093,1.093,0
EURUSD,13-Apr-2020,1.093,1.0967,1.0892,1.0926,0
EURUSD,14-Apr-2020,1.0924,1.0989,1.0919,1.0985,0
EURUSD,15-Apr-2020,1.0982,1.0986,1.0857,1.0906,0
EURUSD,16-Apr-2020,1.0904,1.0904,1.0817,1.086,0
EURUSD,17-Apr-2020,1.0857,1.0892,1.0812,1.0871,0
EURUSD,18-Apr-2020,1.0871,1.0871,1.0871,1.0871,0
EURUSD,19-Apr-2020,1.087,1.0873,1.0863,1.0863,0
EURUSD,20-Apr-2020,1.0863,1.0896,1.0842,1.0862,0
EURUSD,21-Apr-2020,1.0863,1.088,1.0817,1.0855,0
EURUSD,22-Apr-2020,1.0859,1.0885,1.0803,1.0805,0
EURUSD,23-Apr-2020,1.081,1.0846,1.0756,1.0775,0
EURUSD,24-Apr-2020,1.0778,1.0828,1.0727,1.082,0
EURUSD,25-Apr-2020,1.082,1.082,1.082,1.082,0
EURUSD,26-Apr-2020,1.0823,1.0823,1.0814,1.082,0
EURUSD,27-Apr-2020,1.0814,1.086,1.0811,1.0825,0
EURUSD,28-Apr-2020,1.0824,1.0888,1.081,1.0833,0
EURUSD,29-Apr-2020,1.0832,1.0885,1.0832,1.0878,0
EURUSD,30-Apr-2020,1.0873,1.0972,1.0833,1.0942,0
