Symbol,Date,Open,High,Low,Close,Volume
EURUSD,01-Feb-2020,1.1029,1.1095,1.1017,1.1094,0
EURUSD,02-Feb-2020,1.1083,1.1094,1.1082,1.1089,0
EURUSD,03-Feb-2020,1.1087,1.1087,1.1035,1.1063,0
EURUSD,04-Feb-2020,1.1063,1.1064,1.1033,1.1044,0
EURUSD,05-Feb-2020,1.1044,1.1047,1.0993,1.1,0
EURUSD,06-Feb-2020,1.1,1.1013,1.0964,1.098,0
EURUSD,07-Feb-2020,1.0978,1.0985,1.0942,1.0943,0
EURUSD,08-Feb-2020,1.0943,1.0943,1.0943,1.0943,0
EURUSD,09-Feb-2020,1.0947,1.095,1.0942,1.095,0
EURUSD,10-Feb-2020,1.095,1.0957,1.0908,1.091,0
EURUSD,11-Feb-2020,1.0908,1.0924,1.0892,1.0919,0
EURUSD,12-Feb-2020,1.0915,1.0925,1.0865,1.0876,0
EURUSD,13-Feb-2020,1.0876,1.0889,1.0834,1.0842,0
EURUSD,14-Feb-2020,1.0841,1.0861,1.0827,1.0829,0
EURUSD,15-Feb-2020,1.0829,1.0829,1.0829,1.0829,0
EURUSD,16-Feb-2020,1.0843,1.0843,1.0834,1.084,0
EURUSD,17-Feb-2020,1.084,1.0851,1.0827,1.0837,0
EURUSD,18-Feb-2020,1.0833,1.0837,1.0784,1.0796,0
EURUSD,19-Feb-2020,1.0794,1.0811,1.0782,1.081,0
EURUSD,20-Feb-2020,1.0811,1.0821,1.0778,1.0789,0
EURUSD,21-Feb-2020,1.0788,1.0863,1.0788,1.0846,0
EURUSD,22-Feb-2020,1.0846,1.0846,1.0846,1.0846,0
EURUSD,23-Feb-2020,1.0828,1.0841,1.0811,1.0837,0
EURUSD,24-Feb-2020,1.0838,1.0871,1.0805,1.0853,0
EURUSD,25-Feb-2020,1.085,1.089,1.083,1.0878,0
EURUSD,26-Feb-2020,1.0877,1.0907,1.0855,1.0885,0
EURUSD,27-Feb-2020,1.0885,1.1006,1.0885,1.0996,0
EURUSD,28-Feb-2020,1.0996,1.1052,1.0951,1.1025,0
EURUSD,29-Feb-2020,1.1025,1.1025,1.1025,1.1025,0
