Symbol,Date,Open,High,Low,Close,Volume
EURUSD,01-Mar-2020,1.1025,1.1073,1.1025,1.1052,0
EURUSD,02-Mar-2020,1.1039,1.1184,1.1036,1.1143,0
EURUSD,03-Mar-2020,1.1138,1.1212,1.1096,1.1176,0
EURUSD,04-Mar-2020,1.1168,1.1185,1.1096,1.1137,0
EURUSD,05-Mar-2020,1.1136,1.1244,1.112,1.1222,0
EURUSD,06-Mar-2020,1.1222,1.1354,1.1212,1.1284,0
EURUSD,07-Mar-2020,1.1284,1.1284,1.1284,1.1284,0
EURUSD,08-Mar-2020,1.134,1.1395,1.1335,1.1388,0
EURUSD,09-Mar-2020,1.1378,1.1493,1.1363,1.1395,0
EURUSD,10-Mar-2020,1.1407,1.1408,1.1275,1.1318,0
EURUSD,11-Mar-2020,1.1306,1.1366,1.1249,1.1261,0
EURUSD,12-Mar-2020,1.1222,1.1237,1.1055,1.1184,0
EURUSD,13-Mar-2020,1.1167,1.1221,1.1055,1.11,0
EURUSD,14-Mar-2020,1.11,1.11,1.11,1.11,0
EURUSD,15-Mar-2020,1.1067,1.1194,1.1064,1.1178,0
EURUSD,16-Mar-2020,1.1162,1.1236,1.1092,1.1158,0
EURUSD,17-Mar-2020,1.1162,1.1189,1.0955,1.1011,0
EURUSD,18-Mar-2020,1.1004,1.1045,1.0802,1.0972,0
EURUSD,19-Mar-2020,1.0939,1.0943,1.0654,1.0661,0
EURUSD,20-Mar-2020,1.0654,1.083,1.0637,1.0692,0
EURUSD,21-Mar-2020,1.0692,1.0692,1.0692,1.0692,0
EURUSD,22-Mar-2020,1.0701,1.0701,1.0636,1.0677,0
EURUSD,23-Mar-2020,1.0688,1.0827,1.0674,1.0764,0
EURUSD,24-Mar-2020,1.0764,1.0887,1.0748,1.0798,0
EURUSD,25-Mar-2020,1.0791,1.0893,1.076,1.0885,0
EURUSD,26-Mar-2020,1.0875,1.1058,1.0875,1.1046,0
EURUSD,27-Mar-2020,1.1036,1.1146,1.0954,1.1135,0
EURUSD,28-Mar-2020,1.1135,1.1135,1.1135,1.1135,0
EURUSD,29-Mar-2020,1.1126,1.1143,1.1105,1.1139,0
EURUSD,30-Mar-2020,1.1122,1.1122,1.101,1.1024,0
EURUSD,31-Mar-2020,1.1029,1.1038,1.0926,1.1029,0
